Segment #	CM Energy (MeV)	CM Angle (degrees)	CM Cross Section (barns)	Chi-Squared of Point
2	1.39959	54.7691	0.365903	0.473989
2	1.42537	54.7691	0.356373	0.205046
2	1.45245	54.7691	0.352006	0.465928
2	1.47952	54.7691	0.345851	0.509342
2	1.50788	54.7691	0.332748	0.00342348
2	1.53237	54.7691	0.327586	0.00316966
2	1.56073	54.7691	0.325799	0.202572
2	1.58781	54.7691	0.321431	0.280856
2	1.5891	54.7691	0.311306	0.260903
2	1.61617	54.7691	0.309122	0.0537267
2	1.67246	54.7691	0.30535	0.132103
2	1.69824	54.7691	0.295621	0.0778327
2	1.78204	54.7691	0.286687	0.000446333
2	1.80911	54.7691	0.28351	0.00232098
2	1.80911	54.7691	0.278746	0.271539
2	1.83618	54.7691	0.277753	0.0629689
2	1.86455	54.7691	0.279937	0.159397
2	1.86583	54.7691	0.273584	0.121278
2	1.89677	54.7691	0.26862	0.302164
2	1.92342	54.7691	0.269017	0.0236875
2	1.95436	54.7691	0.269216	0.0647784
2	1.98401	54.7691	0.262664	0.0440193
2	2.01237	54.7691	0.256112	0.531247
2	2.04331	54.7691	0.256509	0.10357
2	2.06393	54.7691	0.257701	0.0035808
2	2.09616	54.7691	0.256112	0.0387824
2	2.12581	54.7691	0.250355	0.0652945
2	2.15546	54.7691	0.24698	0.170363
2	2.18726	54.7691	0.245789	0.0697096
2	2.2182	54.7691	0.243009	0.124682
2	2.24914	54.7691	0.243406	0.000217219
2	2.28008	54.7691	0.241222	0.00174229
2	2.31876	54.7691	0.240031	0.0151835
2	2.34454	54.7691	0.238244	0.00772191
2	2.37677	54.7691	0.235663	0.000237012
2	2.40857	54.7691	0.233479	0.0059159
2	2.44209	54.7691	0.234472	0.101302
2	2.47303	54.7691	0.232685	0.0854482
2	2.50654	54.7691	0.229508	0.00619658
2	2.53748	54.7691	0.22792	0.00465126
2	2.571	54.7691	0.228317	0.13096
2	2.6028	54.7691	0.226133	0.0726589
2	2.63761	54.7691	0.225339	0.167506
2	2.66984	54.7691	0.226729	0.740414
2	2.65308	54.7691	0.226133	0.411915
2	2.70464	54.7691	0.223155	0.427251
2	2.70464	54.7691	0.226729	1.36187
2	2.73601	54.7691	0.222361	0.774689
2	2.76996	54.7691	0.217398	0.417779
2	2.80391	54.7691	0.213824	0.77052
2	2.83957	54.7691	0.203302	0.432769
2	2.85333	54.7691	0.198299	0.502026
2	2.86149	54.7691	0.195301	0.733012
2	2.86493	54.7691	0.1927	0.527397
2	2.87352	54.7691	0.187994	0.636644
2	2.87782	54.7691	0.184699	0.53153
2	2.88298	54.7691	0.181204	0.617148
2	2.90704	54.7691	0.153409	0.00741162
2	2.92165	54.7691	0.138499	0.9996
2	2.92767	54.7691	0.125892	0.0399866
2	2.93153	54.7691	0.12081	0.276621
2	2.9354	54.7691	0.114992	0.538253
2	2.94228	54.7691	0.100499	0.00331474
2	2.95302	54.7691	0.0832663	0.0635217
2	2.9672	54.7691	0.066212	1.72266
2	2.9758	54.7691	0.0537638	0.334104
2	2.98525	54.7691	0.0509445	2.37917
2	2.99341	54.7691	0.0517585	4.44031
2	2.99986	54.7691	0.0507658	1.244
2	3.00716	54.7691	0.0569999	5.83302
2	3.01361	54.7691	0.0602361	4.54866
2	3.02006	54.7691	0.0688923	8.05056
2	3.03123	54.7691	0.0739351	1.43383
2	3.03767	54.7691	0.080189	1.35081
2	3.05314	54.7691	0.0940866	1.11262
2	3.07678	54.7691	0.109791	0.0089982
2	3.09741	54.7691	0.126706	1.47406
2	3.12233	54.7691	0.134409	0.0419936
2	3.14467	54.7691	0.139591	0.14838
2	3.16745	54.7691	0.147294	0.00250903
2	3.20097	54.7691	0.152992	0.00301566
2	3.23577	54.7691	0.162602	1.07433
2	3.27144	54.7691	0.164508	0.669748
2	1.3983	63.4537	0.227302	0.024135
2	1.41549	63.4537	0.223239	0.00342452
2	1.41205	63.4537	0.220192	0.358567
2	1.43741	63.4537	0.219989	0.00479927
2	1.46491	63.4537	0.211864	0.569277
2	1.49241	63.4537	0.209833	0.268133
2	1.51991	63.4537	0.206786	0.225254
2	1.5487	63.4537	0.203332	0.253202
2	1.57492	63.4537	0.200103	0.32531
2	1.60285	63.4537	0.193399	1.55109
2	1.63121	63.4537	0.197909	0.000110029
2	1.65742	63.4537	0.191998	0.347293
2	1.6875	63.4537	0.186209	1.36161
2	1.71371	63.4537	0.186107	0.622052
2	1.74251	63.4537	0.183812	0.633617
2	1.77087	63.4537	0.184401	0.0854631
2	1.79708	63.4537	0.180298	0.492991
2	1.82845	63.4537	0.176601	0.995845
2	1.85681	63.4537	0.173005	1.80526
2	1.88646	63.4537	0.175301	0.281385
2	1.91654	63.4537	0.171096	1.00404
2	1.9449	63.4537	0.167602	1.91624
2	1.97455	63.4537	0.169004	0.588082
2	2.0042	63.4537	0.170405	0.0295624
2	2.03299	63.4537	0.163803	1.47685
2	2.04889	63.4537	0.165002	0.6402
2	2.06608	63.4537	0.164007	0.696744
2	2.0923	63.4537	0.164108	0.307731
2	2.10948	63.4537	0.162097	0.652943
2	2.12324	63.4537	0.162097	0.457098
2	2.14042	63.4537	0.160594	0.689776
2	2.16922	63.4537	0.160208	0.414147
2	2.18297	63.4537	0.159294	0.510755
2	2.20101	63.4537	0.158908	0.400695
2	2.21477	63.4537	0.158705	0.309174
2	2.23066	63.4537	0.158705	0.173471
2	2.24785	63.4537	0.158807	0.0602897
2	2.26289	63.4537	0.158197	0.060856
2	2.29254	63.4537	0.156694	0.101921
2	2.32434	63.4537	0.155902	0.0512476
2	2.35528	63.4537	0.154805	0.0445392
2	2.38708	63.4537	0.154805	0.00186705
2	2.41931	63.4537	0.152895	0.0132229
2	2.45111	63.4537	0.152509	0.00274517
2	2.48334	63.4537	0.152611	0.108655
2	2.51514	63.4537	0.149909	7.07693e-05
2	2.54737	63.4537	0.151697	0.418941
2	2.58131	63.4537	0.150295	0.399556
2	2.62386	63.4537	0.146903	0.0770701
2	2.65823	63.4537	0.144811	0.0289472
2	2.69132	63.4537	0.144202	0.201125
2	2.72097	63.4537	0.142109	0.18334
2	2.76008	63.4537	0.140606	0.818004
2	2.79231	63.4537	0.134004	0.130392
2	2.82539	63.4537	0.128398	0.445515
2	2.84645	63.4537	0.120598	0.116347
2	2.87051	63.4537	0.108491	0.000193886
2	2.89415	63.4537	0.0935614	0.174441
2	2.90489	63.4537	0.0830393	0.027251
2	2.91649	63.4537	0.0688202	0.415769
2	2.92853	63.4537	0.0555762	0.0356048
2	2.93841	63.4537	0.0413571	0.187938
2	2.95259	63.4537	0.027524	12.8109
2	2.96333	63.4537	0.0150702	5.3577
2	2.97279	63.4537	0.00571809	1.28783
2	2.9831	63.4537	0.00241521	1.87156
2	2.99427	63.4537	0.00340242	1.81289
2	3.00588	63.4537	0.00789767	0.00142937
2	3.01662	63.4537	0.0161	0.000147173
2	3.03767	63.4537	0.0350398	0.0326084
2	3.06217	63.4537	0.0531996	0.573398
2	3.08237	63.4537	0.0654889	0.637567
2	3.10471	63.4537	0.0770266	0.0679152
2	3.12963	63.4537	0.086594	0.0266718
2	3.15241	63.4537	0.0895597	0.707208
2	3.18507	63.4537	0.0981521	0.0549667
2	3.21687	63.4537	0.102296	0.151093
2	3.24996	63.4537	0.105607	0.39378
2	1.391	73.9396	0.142398	0.667909
2	1.391	73.9396	0.140495	0.141917
2	1.40819	73.9396	0.140202	0.460559
2	1.40475	73.9396	0.142001	1.03656
2	1.41979	73.9396	0.13629	8.04023e-05
2	1.43268	73.9396	0.138298	0.551963
2	1.44557	73.9396	0.1338	0.00737068
2	1.45803	73.9396	0.131792	0.115012
2	1.47092	73.9396	0.128194	1.0367
2	1.48596	73.9396	0.131604	0.0267653
2	1.49757	73.9396	0.129386	0.0325987
2	1.50917	73.9396	0.126688	0.449624
2	1.52335	73.9396	0.126688	0.164114
2	1.53796	73.9396	0.12719	5.37322e-05
2	1.54999	73.9396	0.122504	1.1227
2	1.56245	73.9396	0.124889	0.0343424
2	1.57663	73.9396	0.122295	0.420896
2	1.59124	73.9396	0.123801	0.000160011
2	1.59124	73.9396	0.122295	0.158852
2	1.60414	73.9396	0.122002	0.0692877
2	1.61918	73.9396	0.122295	0.0038225
2	1.63293	73.9396	0.118299	0.697225
2	1.64797	73.9396	0.119094	0.136428
2	1.66086	73.9396	0.118006	0.22982
2	1.67676	73.9396	0.118697	0.00165057
2	1.69137	73.9396	0.1174	0.0364214
2	1.715	73.9396	0.115391	0.181305
2	1.715	73.9396	0.110099	4.18583
2	1.73004	73.9396	0.114492	0.223727
2	1.74379	73.9396	0.113007	0.518553
2	1.75669	73.9396	0.113195	0.233799
2	1.76915	73.9396	0.110998	0.956582
2	1.79708	73.9396	0.110705	0.469443
2	1.79794	73.9396	0.109199	1.30155
2	1.81212	73.9396	0.110496	0.305282
2	1.82802	73.9396	0.109806	0.310961
2	1.84177	73.9396	0.109199	0.319779
2	1.85552	73.9396	0.108091	0.545787
2	1.8697	73.9396	0.1074	0.606017
2	1.88431	73.9396	0.1074	0.35635
2	1.89849	73.9396	0.107003	0.303379
2	1.9131	73.9396	0.107003	0.140131
2	1.92728	73.9396	0.1074	0.00659468
2	1.94404	73.9396	0.103405	1.37558
2	1.95608	73.9396	0.105894	0.0483899
2	1.97283	73.9396	0.103907	0.445354
2	1.98659	73.9396	0.103593	0.373118
2	2.00163	73.9396	0.102087	0.890404
2	2.01538	73.9396	0.102296	0.51028
2	2.03171	73.9396	0.101396	0.700542
2	2.04632	73.9396	0.101606	0.362115
2	2.04632	73.9396	0.0997437	1.52958
2	2.06136	73.9396	0.100288	0.7775
2	2.0923	73.9396	0.0989906	0.982794
2	2.12195	73.9396	0.0977354	1.23611
2	2.14988	73.9396	0.0971706	1.02898
2	2.18297	73.9396	0.0988023	0.0105587
2	2.21391	73.9396	0.096815	0.2194
2	2.24571	73.9396	0.095518	0.35854
2	2.27664	73.9396	0.0944302	0.451021
2	2.30887	73.9396	0.0944302	0.115297
2	2.33852	73.9396	0.0902463	2.51975
2	2.36946	73.9396	0.0902463	1.57553
2	2.40255	73.9396	0.0897024	1.2097
2	2.43564	73.9396	0.0904136	0.222722
2	2.46658	73.9396	0.0895141	0.220461
2	2.49924	73.9396	0.0893258	0.0275091
2	2.53147	73.9396	0.0875058	0.225316
2	2.56327	73.9396	0.0876732	4.60378e-05
2	2.5955	73.9396	0.0875058	0.132036
2	2.63159	73.9396	0.0849537	0.00753355
2	2.65179	73.9396	0.0842215	0.00201388
2	2.66468	73.9396	0.0836776	0.00125579
2	2.69562	73.9396	0.0822132	0.00055717
2	2.68617	73.9396	0.0824015	0.0199938
2	2.71668	73.9396	0.0831128	0.641967
2	2.70636	73.9396	0.080205	0.385783
2	2.72957	73.9396	0.0811254	0.104295
2	2.7373	73.9396	0.0800376	0.00638588
2	2.7532	73.9396	0.0791172	0.0253671
2	2.76394	73.9396	0.0782176	0.0162295
2	2.78414	73.9396	0.078385	0.893361
2	2.79574	73.9396	0.0738455	0.279518
2	2.81594	73.9396	0.0756445	1.72449
2	2.82754	73.9396	0.0721928	0.254952
2	2.85204	73.9396	0.069285	1.21964
2	2.86708	73.9396	0.064369	0.0781129
2	2.88641	73.9396	0.0603734	0.762572
2	2.89372	73.9396	0.057089	0.0836267
2	2.91091	73.9396	0.0520056	0.438176
2	2.92036	73.9396	0.0490978	1.40333
2	2.9311	73.9396	0.0445583	0.382744
2	2.94142	73.9396	0.0409183	0.521013
2	2.9556	73.9396	0.0392866	4.37292
2	2.97451	73.9396	0.0383662	0.925406
2	2.98869	73.9396	0.0414413	1.38653
2	2.999	73.9396	0.0449139	1.54805
2	3.01189	73.9396	0.0489096	0.0269589
2	3.02178	73.9396	0.0543486	0.786726
2	3.04412	73.9396	0.0607081	0.000961865
2	3.06733	73.9396	0.0652685	0.482616
2	3.0901	73.9396	0.0692641	0.268786
2	3.11116	73.9396	0.0723393	0.0070361
2	3.13479	73.9396	0.075791	0.598684
2	3.17089	73.9396	0.0759793	0.132318
2	3.20312	73.9396	0.0768788	0.383907
2	3.23492	73.9396	0.0766905	0.324218
2	3.26242	73.9396	0.0777783	1.27854
2	1.40647	90.0313	0.0770488	5.16047
2	1.40389	90.0313	0.0741935	1.03495
2	1.43096	90.0313	0.0717959	0.315819
2	1.48596	90.0313	0.0691804	0.28935
2	1.51561	90.0313	0.0672406	0.0453227
2	1.5414	90.0313	0.0670226	0.384611
2	1.56847	90.0313	0.064843	0.00280646
2	1.5964	90.0313	0.0633173	0.0451516
2	1.62476	90.0313	0.0629032	0.00792267
2	1.65184	90.0313	0.0605056	0.537246
2	1.6802	90.0313	0.0620531	0.360085
2	1.70813	90.0313	0.0609633	0.229064
2	1.7352	90.0313	0.0585658	0.174773
2	1.76227	90.0313	0.0583696	0.00988869
2	1.79192	90.0313	0.0570618	0.161165
2	1.81857	90.0313	0.05619	0.267538
2	1.84693	90.0313	0.0551002	0.579599
2	1.87658	90.0313	0.054904	0.206715
2	1.90494	90.0313	0.054272	0.201636
2	1.93416	90.0313	0.0525283	1.3479
2	1.96381	90.0313	0.0542938	0.121093
2	1.99217	90.0313	0.0516782	0.896343
2	2.02311	90.0313	0.0512641	0.680413
2	2.06651	90.0313	0.0499564	1.30987
2	2.09616	90.0313	0.0501961	0.422924
2	2.12538	90.0313	0.0506538	4.9294e-05
