                  T9                Rate
               0.001         3.14303e-48
               0.002          6.1569e-37
               0.003          1.8267e-31
               0.004         5.13151e-28
               0.005          1.4493e-25
               0.006         1.06957e-23
               0.007         3.31102e-22
               0.008         5.61028e-21
               0.009         6.12561e-20
                0.01         4.79481e-19
               0.011         2.89487e-18
               0.012         1.42032e-17
               0.013         5.88464e-17
               0.014         2.11946e-16
               0.015         6.78616e-16
               0.016         1.96591e-15
               0.018         1.28933e-14
                0.02         6.50408e-14
               0.025         1.65613e-12
                0.03         1.94568e-11
                0.04          6.9819e-10
                0.05         8.82813e-09
                0.06         6.07575e-08
                0.07         2.82233e-07
                0.08         9.98526e-07
                0.09         2.89727e-06
                 0.1          7.2356e-06
                0.11         1.60767e-05
                0.12         3.25385e-05
                0.13         6.10398e-05
                0.14         0.000107529
                0.15         0.000179689
                0.16         0.000287107
                0.18         0.000656386
                 0.2          0.00133451
                0.25          0.00548363
                 0.3           0.0159701
                0.35           0.0372526
                 0.4           0.0745396
                0.45            0.133417
                 0.5            0.219535
                 0.6            0.495077
                 0.7            0.940462
                 0.8              1.5875
                 0.9             2.46013
                   1             3.57521
                1.25             7.48319
                 1.5               13.02
                1.75             20.1441
                   2             28.7695
                 2.5             50.1209
                   3             76.3001
                 3.5              106.65
                   4              140.64
                   5             217.895
                   6             305.403
                   7             401.194
                   8             503.732
                   9             611.798
                  10             724.414
