                  T9                Rate
               0.001          8.0693e-48
               0.002         1.58049e-36
               0.003         4.68865e-31
               0.004         1.31699e-27
               0.005         3.71922e-25
               0.006         2.74452e-23
               0.007         8.49534e-22
               0.008         1.43935e-20
               0.009         1.57144e-19
                0.01         1.22995e-18
               0.011         7.42528e-18
               0.012         3.64283e-17
               0.013         1.50918e-16
               0.014          5.4352e-16
               0.015         1.74014e-15
               0.016         5.04076e-15
               0.018         3.30551e-14
                0.02         1.66726e-13
               0.025         4.24404e-12
                0.03          4.9846e-11
                0.04         1.78769e-09
                0.05         2.25923e-08
                0.06         1.55408e-07
                0.07         7.21557e-07
                0.08         2.55162e-06
                0.09         7.40022e-06
                 0.1         1.84728e-05
                0.11         4.10262e-05
                0.12         8.29989e-05
                0.13         0.000155632
                0.14         0.000274048
                0.15         0.000457759
                0.16           0.0007311
                0.18          0.00167007
                 0.2          0.00339268
                0.25           0.0139132
                 0.3           0.0404416
                0.35           0.0941584
                 0.4            0.188057
                0.45            0.335992
                 0.5             0.55189
                 0.6             1.24029
                 0.7             2.34823
                 0.8             3.95101
                 0.9             6.10366
                   1             8.84321
                1.25              18.376
                 1.5             31.7582
                1.75             48.8301
                   2             69.3396
                 2.5             119.603
                   3             180.645
                 3.5             251.071
                   4             329.953
                   5             511.029
                   6             721.647
                   7             961.212
                   8             1229.52
                   9             1526.18
                  10             1850.32
